projection_id,projection_entity_id,x,y
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_00801BEDF4A255BA7B33F53F,0.7672423,0.1558852
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_00F234937E28BF44BE6A7FAA,0.13200873,0.76014245
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_00F25AAE48F26CF8A3D6FDC3,0.30955267,0.32923213
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_00F671FF017D13F56132EF45,0.6057246,0.3588687
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_01143090221983D72023BF68,0.1565278,0.70674795
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0220E583693894D6D861BA71,0.7045317,0.99094045
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0249272693BB9DF54D99D7B8,0.44846734,0.5176593
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0291744E39211EA7F33ABCFA,0.215101,0.7272221
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_029E83BDFED57D9E2A092B33,0.08847837,0.66223866
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_02B81F28D6293317EFECE0F7,0.54074955,0.54391503
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_02C02B3FE103DD5D72A92AC1,0.2907771,0.6237788
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_02C23AED2FC7580C8505B2D8,0.21699443,0.6077191
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_02C9E421F60CC17C9A8D7044,0.16108222,0.7113679
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_03073892D68578E700AE2711,0.14587416,0.5599055
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_03AACD662C0B641CEF5739B2,0.23155391,0.661518
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_03F303363DC65E0686248A8B,0.773424,0.16010979
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_042624930908359AC731B661,0.5415304,0.17475523
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_04A2CBEFD0503E7DD6CA4095,0.0638601,0.8397061
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_04D360C323AB2FE13B69E6DB,0.37683865,0.5636675
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_04F62C97F283BA9F3A51088E,0.236954,0.61282396
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_050D4DC38E7F9564A5572153,0.19340627,0.58439726
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_05A5ABB6954B577AB322BF0A,0.36332738,0.0027427564
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_05F016351C154B66FDC5214D,0.3400022,0.56612253
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_05F73BBCAB5A741A4C2B33FE,0.37157178,0.64340246
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_060BC13A4209220685EACDA8,0.17736532,0.7351477
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_06748C05A30A368EE511A991,0.7736466,0.1609124
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_06763E1D6C4814B064B85DBF,0.37036604,0.6422997
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_068F5CAA242EF67721AD2DBF,0.07415816,0.5955639
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_06E1C062F8411A5433DAF6EC,0.3744886,0.3350876
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_071FD7147FB41629533997FB,0.014350227,0.6865884
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_074E3ED35CD9D9832324FCB9,0.06185716,0.83746207
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_084FB0628B9D923AC7E2AF7D,0.17975253,0.6210308
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0897C676FC8679F999FC587E,0.0,0.5756108
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_093C233A41E222A785F3F499,0.041759845,0.7420936
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_095FAA2B1D4F84D89A772985,0.13357337,0.57870847
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_096CE6D7F7808B67EC7B4FE1,0.60785586,0.4091978
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_09C7ACC3FF88D605CC1BDCE4,0.76673126,0.41130537
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_09C8CEF6AEB4A62271C13010,0.080906495,0.6799336
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0A37FE6C6AC4FC40D0E2DF40,0.9890126,0.47788432
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0AFF90BE1EEDA41C31556156,0.93669003,0.8119661
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0B128C59C891BBE59EC096DC,0.95467705,0.8267962
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0B9BE684805324971CD0135A,0.44618115,0.5176629
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0BB3C44E991172EA605F0409,0.60956705,0.36615378
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0BDF92BA7AB4BD7F50B1C3ED,0.71934414,0.18684433
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0C2D0A36660E7A40D3CFB670,0.20239207,0.551775
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0C4662384B43CD3ACEBAA04F,0.94669807,0.8191326
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0C808E83294DC6EEEF01D2EB,0.75908774,0.1787559
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0D019BF3E1350F9931B1079C,0.6272881,0.50694215
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0D426B7FEC0A8BBC399CBADA,0.54224795,0.33070245
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0DAD610F8F68D62B51376CD7,0.045019623,0.489267
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0E11600C766D1059CBA0CE79,0.32725582,0.3412282
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0EB66E2F86BF05F58E7311AD,0.72739226,0.30098507
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0EC877041EAFEFA69CA1E106,0.93667555,0.8237549
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0EF3BD0658E7A078A8D81A57,0.26252958,0.7055501
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0F40BCDC3075C4F2B16F2B18,0.057391845,0.5039817
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_0FE60D905A732F0D893D980A,0.26309356,0.62432426
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_1096BF1C078E187537E28726,0.9848341,0.48527318
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_10F25AC1297CFFC3AD136EB2,0.53701025,0.5471972
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_112ABCC439A92E7406107AC7,0.7677892,0.15817645
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_115A22CA73B3EC39403FD910,0.1042504,0.6519914
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_1242F37F058C8E62388841DF,0.76129603,0.17315274
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_12F01F0C7EB55138708C1E9C,0.7293769,0.3103214
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_12F4224587283A225DABAC08,0.53650373,0.5459095
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_13981CC4E07593FA7002796C,0.37191877,0.64346015
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_139940DEC606A5140DECE719,0.043015536,0.6231949
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_13BF10F984CF965B589B38E3,0.29797402,0.6552357
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_14C7C9A143FC532CA07BF0E5,0.7269945,0.31038624
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_14DA2E6249CF770521704E62,0.5541358,0.5292885
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_15B70F1DF1B560AB8F21D5FD,0.35088637,0.30755576
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_15BB66CA1E5BECE3D4AF81E0,0.36247185,0.0029151423
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_16930C4046557B10D7C208C1,0.13914187,0.5595475
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_17133421BFA092AB8BFCDB19,0.6531412,0.42289674
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_1713959E4AE7FC25A4EF090E,0.9948459,0.48015127
PROJ_DG761_20260723_213011_KST_4665FDF3E5CF,PE_17355DE4144DB7AC11355EDF,0.0371043,0.67543423
