segment_no,vector_row
050606_SEG_PREV_CURR_01101,167
050606_SEG_CURR_NEXT_01100,168
050673_SEG_CURR_NEXT_00167,169
050673_SEG_PREV_CURR_00168,170
050606_SEG_TURN_00535,171
050492_SEG_TURN_01253,172
050492_SEG_TURN_01283,173
050615_SEG_TURN_00832,174
050606_SEG_PREV_CURR_00536,175
050606_SEG_CURR_NEXT_00535,176
050606_SEG_PREV_CURR_01100,177
050606_SEG_CURR_NEXT_01099,178
050606_SEG_PREV_CURR_00535,179
050606_SEG_CURR_NEXT_00534,180
050308_SEG_TURN_00893,181
050615_SEG_TURN_00435,182
050615_SEG_CURR_NEXT_00434,183
050615_SEG_PREV_CURR_00435,184
050673_SEG_CURR_NEXT_00168,185
050673_SEG_PREV_CURR_00169,186
050615_SEG_PREV_CURR_00436,187
050615_SEG_CURR_NEXT_00435,188
050492_SEG_TURN_01251,189
050615_SEG_TURN_00468,190
050615_SEG_CURR_NEXT_00467,191
050615_SEG_PREV_CURR_00468,192
050615_SEG_PREV_CURR_00469,193
050615_SEG_CURR_NEXT_00468,194
050615_SEG_TURN_01182,195
050430_SEG_TURN_00879,196
050673_SEG_TURN_00634,197
050615_SEG_CURR_NEXT_01182,198
050615_SEG_PREV_CURR_01183,199
050673_SEG_CURR_NEXT_00633,200
050673_SEG_PREV_CURR_00634,201
050673_SEG_PREV_CURR_00635,202
050673_SEG_CURR_NEXT_00634,203
050673_SEG_TURN_00646,204
050615_SEG_TURN_00472,205
050350_SEG_TURN_00755,206
050430_SEG_CURR_NEXT_00879,207
050430_SEG_PREV_CURR_00880,208
050492_SEG_TURN_01582,209
050430_SEG_TURN_00003,210
050430_SEG_PREV_CURR_00004,211
050430_SEG_CURR_NEXT_00003,212
050308_SEG_TURN_00224,213
050615_SEG_PREV_CURR_00472,214
050615_SEG_CURR_NEXT_00471,215
050673_SEG_PREV_CURR_00647,216
050673_SEG_CURR_NEXT_00646,217
050308_SEG_CURR_NEXT_00223,218
050308_SEG_PREV_CURR_00224,219
050430_SEG_TURN_00516,220
050615_SEG_PREV_CURR_00473,221
050615_SEG_CURR_NEXT_00472,222
050492_SEG_PREV_CURR_01583,223
050492_SEG_CURR_NEXT_01582,224
050350_SEG_PREV_CURR_00755,225
050350_SEG_CURR_NEXT_00754,226
050430_SEG_PREV_CURR_00517,227
050430_SEG_CURR_NEXT_00516,228
050430_SEG_CURR_NEXT_00515,229
050430_SEG_PREV_CURR_00516,230
050673_SEG_TURN_00158,231
050308_SEG_TURN_00957,232
050492_SEG_PREV_CURR_01582,233
050492_SEG_CURR_NEXT_01581,234
050492_SEG_TURN_01033,235
050430_SEG_TURN_00131,236
050308_SEG_TURN_00669,237
050308_SEG_TURN_00330,238
050308_SEG_TURN_00373,239
050308_SEG_PREV_CURR_00373,240
050308_SEG_CURR_NEXT_00372,241
050308_SEG_PREV_CURR_00201,242
050308_SEG_CURR_NEXT_00199,243
050308_SEG_TURN_00200,244
050308_SEG_CURR_NEXT_00200,245
050308_SEG_PREV_CURR_00200,246
050308_SEG_PREV_CURR_00374,247
050308_SEG_CURR_NEXT_00373,248
050430_SEG_CURR_NEXT_00759,249
050430_SEG_PREV_CURR_00760,250
050430_SEG_TURN_00285,251
050308_SEG_TURN_00819,252
050673_SEG_TURN_00109,253
050308_SEG_PREV_CURR_00819,254
050308_SEG_CURR_NEXT_00818,255
050308_SEG_PREV_CURR_00820,256
050308_SEG_CURR_NEXT_00819,257
050430_SEG_PREV_CURR_00761,258
050430_SEG_CURR_NEXT_00760,259
050308_SEG_TURN_00497,260
050308_SEG_PREV_CURR_00498,261
050308_SEG_CURR_NEXT_00497,262
050430_SEG_PREV_CURR_00286,263
050430_SEG_CURR_NEXT_00285,264
050430_SEG_TURN_00760,265
050308_SEG_CURR_NEXT_00496,266
050308_SEG_PREV_CURR_00497,267
050308_SEG_PREV_CURR_00330,268
050308_SEG_CURR_NEXT_00329,269
050673_SEG_CURR_NEXT_00109,270
050673_SEG_PREV_CURR_00110,271
050308_SEG_TURN_00212,272
050430_SEG_TURN_00761,273
050492_SEG_TURN_01168,274
050606_SEG_TURN_01376,275
050308_SEG_PREV_CURR_00212,276
050308_SEG_CURR_NEXT_00211,277
050606_SEG_CURR_NEXT_01375,278
050606_SEG_PREV_CURR_01376,279
050308_SEG_TURN_00064,280
050615_SEG_TURN_00419,281
050615_SEG_TURN_01159,282
050606_SEG_TURN_00253,283
050308_SEG_TURN_00375,284
050673_SEG_TURN_00023,285
050673_SEG_PREV_CURR_00210,286
050673_SEG_CURR_NEXT_00022,287
050673_SEG_PREV_CURR_00023,288
050673_SEG_CURR_NEXT_00023,289
050673_SEG_PREV_CURR_00024,290
050673_SEG_TURN_00656,291
050606_SEG_PREV_CURR_00254,292
050606_SEG_CURR_NEXT_00253,293
050673_SEG_CURR_NEXT_00208,294
050673_SEG_PREV_CURR_00209,295
050308_SEG_PREV_CURR_00376,296
050308_SEG_CURR_NEXT_00375,297
050615_SEG_CURR_NEXT_01158,298
050615_SEG_PREV_CURR_01159,299
050606_SEG_TURN_00903,300
050308_SEG_PREV_CURR_00375,301
050308_SEG_CURR_NEXT_00374,302
050606_SEG_TURN_00986,303
050606_SEG_CURR_NEXT_00252,304
050606_SEG_PREV_CURR_00253,305
050615_SEG_TURN_00676,306
050606_SEG_TURN_00224,307
050673_SEG_CURR_NEXT_00194,308
050673_SEG_PREV_CURR_00195,309
050673_SEG_TURN_00809,310
050615_SEG_PREV_CURR_00677,311
050615_SEG_CURR_NEXT_00676,312
050615_SEG_TURN_00139,313
050606_SEG_PREV_CURR_00224,314
050606_SEG_CURR_NEXT_00223,315
050673_SEG_TURN_00687,316
050492_SEG_TURN_01081,317
050615_SEG_PREV_CURR_00140,318
050615_SEG_CURR_NEXT_00139,319
050673_SEG_TURN_00195,320
050606_SEG_PREV_CURR_00903,321
050606_SEG_CURR_NEXT_00902,322
050673_SEG_TURN_00194,323
050673_SEG_TURN_00812,324
050673_SEG_TURN_00342,325
050673_SEG_CURR_NEXT_00341,326
050673_SEG_PREV_CURR_00342,327
050673_SEG_CURR_NEXT_00342,328
050673_SEG_PREV_CURR_00343,329
050673_SEG_TURN_00345,330
050673_SEG_PREV_CURR_00345,331
050673_SEG_CURR_NEXT_00344,332
050673_SEG_PREV_CURR_00346,333
050673_SEG_CURR_NEXT_00345,334
050615_SEG_TURN_00540,335
050673_SEG_TURN_01002,336
050615_SEG_CURR_NEXT_00539,337
050615_SEG_PREV_CURR_00540,338
050673_SEG_PREV_CURR_01003,339
050673_SEG_CURR_NEXT_01002,340
050615_SEG_CURR_NEXT_00540,341
050615_SEG_PREV_CURR_00541,342
050673_SEG_PREV_CURR_01002,343
050673_SEG_CURR_NEXT_01001,344
050673_SEG_TURN_00340,345
050673_SEG_CURR_NEXT_00340,346
050673_SEG_PREV_CURR_00341,347
050492_SEG_TURN_00780,348
050606_SEG_TURN_00970,349
050673_SEG_PREV_CURR_00340,350
050673_SEG_CURR_NEXT_00339,351
050308_SEG_TURN_00604,352
050673_SEG_TURN_00332,353
050350_SEG_TURN_01334,354
050350_SEG_CURR_NEXT_01333,355
050350_SEG_PREV_CURR_01334,356
050615_SEG_TURN_00957,357
050308_SEG_PREV_CURR_00086,358
050308_SEG_CURR_NEXT_00085,359
050308_SEG_PREV_CURR_00087,360
050308_SEG_CURR_NEXT_00086,361
050308_SEG_TURN_00086,362
050308_SEG_TURN_00085,363
050308_SEG_PREV_CURR_00085,364
050308_SEG_CURR_NEXT_00084,365
050308_SEG_TURN_00080,366
050308_SEG_TURN_00087,367
050308_SEG_PREV_CURR_00080,368
050308_SEG_CURR_NEXT_00079,369
050308_SEG_PREV_CURR_00081,370
050308_SEG_CURR_NEXT_00080,371
050308_SEG_TURN_00084,372
050308_SEG_TURN_00276,373
050308_SEG_PREV_CURR_00084,374
050308_SEG_CURR_NEXT_00083,375
050308_SEG_CURR_NEXT_00276,376
050308_SEG_PREV_CURR_00277,377
050308_SEG_CURR_NEXT_00275,378
050308_SEG_PREV_CURR_00276,379
050606_SEG_TURN_00347,380
050606_SEG_PREV_CURR_00348,381
050606_SEG_CURR_NEXT_00347,382
050606_SEG_PREV_CURR_00347,383
050606_SEG_CURR_NEXT_00346,384
050606_SEG_TURN_01168,385
050308_SEG_TURN_00840,386
050615_SEG_CURR_NEXT_00491,387
050615_SEG_PREV_CURR_00492,388
050308_SEG_TURN_00689,389
050308_SEG_PREV_CURR_00088,390
050308_SEG_CURR_NEXT_00087,391
050308_SEG_TURN_00916,392
050350_SEG_TURN_00011,393
050606_SEG_TURN_00033,394
050673_SEG_TURN_00438,395
050606_SEG_PREV_CURR_01168,396
050606_SEG_CURR_NEXT_01167,397
050308_SEG_PREV_CURR_00690,398
050308_SEG_CURR_NEXT_00689,399
050606_SEG_CURR_NEXT_00032,400
050606_SEG_PREV_CURR_00033,401
050606_SEG_CURR_NEXT_00033,402
050606_SEG_PREV_CURR_00034,403
050615_SEG_TURN_00353,404
050350_SEG_CURR_NEXT_00011,405
050673_SEG_TURN_01147,406
050615_SEG_TURN_00801,407
050673_SEG_TURN_00695,408
050615_SEG_CURR_NEXT_00801,409
050615_SEG_PREV_CURR_00802,410
050673_SEG_PREV_CURR_00696,411
050673_SEG_CURR_NEXT_00695,412
050673_SEG_PREV_CURR_00439,413
050673_SEG_CURR_NEXT_00438,414
050673_SEG_CURR_NEXT_00437,415
050673_SEG_PREV_CURR_00438,416
050673_SEG_PREV_CURR_00695,417
050673_SEG_CURR_NEXT_00694,418
050350_SEG_TURN_01218,419
050606_SEG_TURN_00750,420
050308_SEG_TURN_00682,421
050350_SEG_PREV_CURR_01218,422
050350_SEG_CURR_NEXT_01217,423
050308_SEG_CURR_NEXT_00682,424
050308_SEG_PREV_CURR_00683,425
050606_SEG_PREV_CURR_00751,426
050606_SEG_CURR_NEXT_00750,427
050673_SEG_PREV_CURR_01147,428
050673_SEG_CURR_NEXT_01146,429
050308_SEG_PREV_CURR_00682,430
050308_SEG_CURR_NEXT_00681,431
050430_SEG_TURN_00990,432
050308_SEG_TURN_00278,433
050430_SEG_TURN_00199,434
050615_SEG_PREV_CURR_00801,435
050615_SEG_CURR_NEXT_00800,436
050430_SEG_PREV_CURR_00199,437
050430_SEG_CURR_NEXT_00198,438
050673_SEG_TURN_01145,439
050430_SEG_CURR_NEXT_00989,440
050430_SEG_PREV_CURR_00990,441
050615_SEG_TURN_00229,442
050606_SEG_TURN_00439,443
050430_SEG_CURR_NEXT_00199,444
050430_SEG_PREV_CURR_00200,445
050308_SEG_PREV_CURR_00279,446
050308_SEG_CURR_NEXT_00278,447
050606_SEG_PREV_CURR_00440,448
050606_SEG_CURR_NEXT_00439,449
050673_SEG_TURN_00427,450
050673_SEG_TURN_00545,451
050673_SEG_PREV_CURR_00427,452
050673_SEG_CURR_NEXT_00426,453
